ID	LONGITUDE	LATITUDE	STREET	SUBURB	RESTRICTIONS	RESTRICTED_DAYS_AND_TIMES
1	153.0419151	-27.46558118	BOWEN TERRACE	NEW FARM	Loading Zone Passengers 2 Min. Max	
2	153.0473301	-27.52302913	DENHAM TERRACE	TARRAGINDI	Loading Zone	
3	153.0404691	-27.49765098	OKEEFE STREET	WOOLLOONGABBA	Loading Zone Passengers 2 Min. Max	
4	153.0316944	-27.4630273	ADELAIDE STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  4pm MON-FRI 8am -  12noon SAT
5	153.0553672	-27.48901216	CLARENCE STREET	COORPAROO	Loading Zone Passengers 2 Min. Max	
6	153.0107613	-27.48083977	VULTURE STREET	WEST END	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 MON-FRI 8 00AM -  5 30PM
7	152.975233	-27.5883175	CROCUS STREET	INALA	Loading Zone Passengers 2 Min. Max	
8	153.0601124	-27.45152836	OXFORD STREET	BULIMBA	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI 8am -  12noon SAT
9	153.0111463	-27.49966523	UPLAND ROAD	ST LUCIA	Loading Zone Passengers 2 Min. Max	 9am -  4pm MON-FRI 9am -  12NOON SAT
10	153.0170267	-27.47398568	HOPE STREET	SOUTH BRISBANE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 6am -  6pm MON-FRI 6am -  12noon SAT
11	153.0363092	-27.35912766	ZILLMERE ROAD	ZILLMERE	Loading Zone Passengers 2 Min. Max	
12	153.0640246	-27.51026276	CAVENDISH ROAD	COORPAROO	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
13	153.0171082	-27.51802539	LAKE STREET	YERONGA	Loading Zone Passengers 2 Min. Max	
14	153.0603464	-27.49583817	HALSTEAD STREET	COORPAROO	Loading Zone	 4pm -  6pm 
15	152.9857815	-27.46715633	BOUNDARY ROAD	BARDON	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
16	153.0414458	-27.45464573	CHESTER STREET	NEWSTEAD	Loading Zone	 8am -  5pm MON-FRI
17	152.982498	-27.48098935	DEAN STREET	TOOWONG	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  4pm MON-FRI
18	153.0831778	-27.36668455	RAILWAY STREET	NUDGEE	Loading Zone Passengers 2 Min. Max	
19	153.0533353	-27.41941296	BAYVIEW TERRACE	CLAYFIELD	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
20	152.9828856	-27.54960271	CLIVEDEN AVENUE	CORINDA	Loading Zone Passengers 2 Min. Max	  7 00AM -  9 00AM SCHOOLDAYS 2 00PM -  4 00PM
21	153.104867	-27.5024561	BANCHORY COURT	CARINDALE	Loading Zone Passengers 2 Min. Max	
22	153.0244758	-27.46263919	LEICHHARDT STREET	SPRING HILL	Loading Zone Passengers 2 Min. Max	
23	153.0257078	-27.46715778	EDWARD STREET	BRISBANE CITY	Loading Zone Passengers 2 Min. Max	
24	153.1584703	-27.46594218	LEWIS PLACE	MANLY WEST	Loading Zone Passengers 2 Min. Max	 7am -  9am SCHOOLDAYS
25	153.034805	-27.46079373	PROVIDENCE LANE	FORTITUDE VALLEY	Loading Zone Passengers 2 Min. Max	  7 00AM -  9 00AM MON-FRI 3 00PM -  6 00PM
26	153.0205096	-27.46166812	BRADLEY STREET	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  5 30pm MON-FRI 8am -  12noon SAT
27	153.0541314	-27.46104823	GORDON STREET	HAWTHORNE	Loading Zone Passengers 2 Min. Max	
28	152.9761819	-27.52034517	VERNEY ROAD EAST	GRACEVILLE	Loading Zone	 8am -  5 30pm MON-FRI
29	153.0198183	-27.46141634	WICKHAM TERRACE	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
30	153.0177816	-27.47323112	GREY STREET	SOUTH BRISBANE	Loading Zone	 7am -  7pm MON-FRI
31	153.0361419	-27.45048929	MALLON STREET	BOWEN HILLS	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
32	152.9757286	-27.41431702	SUEZ STREET	MITCHELTON	Loading Zone Passengers 2 Min. Max	 3 -  3 30pm SCHOOLDAYS
33	153.0454175	-27.44544419	NEWSTEAD TERRACE	NEWSTEAD	Loading Zone	
34	153.0219994	-27.48140536	TRIBUNE STREET	SOUTH BRISBANE	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
35	153.0406994	-27.46613094	MORAY STREET	NEW FARM	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
36	153.0074929	-27.39371208	DETLING STREET	STAFFORD HEIGHTS	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 -  3 30pm SCHOOLDAYS
37	153.0184397	-27.46692716	MAKERSTON STREET	BRISBANE CITY	Loading Zone	 12noon -  10pm EVENTDAYSONLY
38	153.0565174	-27.43269416	PRINGLE STREET	ASCOT	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
39	153.0499367	-27.46323197	MERTHYR ROAD	NEW FARM	Loading Zone	 8am -  4pm MON-FRI
40	153.0127442	-27.46661507	UPPER ROMA STREET	BRISBANE CITY	Loading Zone Passengers 2 Min. Max	
41	153.0252628	-27.4636949	ASTOR TERRACE	SPRING HILL	Loading Zone	 6 -  6pm MON-FRI 6 -  12noon SAT
42	153.0378634	-27.45683127	MCLACHLAN STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI
43	152.99389	-27.45333242	PRIMROSE TERRACE	RED HILL	Loading Zone	 7am -  4pm MON-FRI
44	153.0442988	-27.44720522	EVELYN STREET	NEWSTEAD	Loading Zone	
45	153.1156265	-27.5035477	SCRUB ROAD	CARINDALE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
46	153.0111456	-27.49911972	UPLAND ROAD	ST LUCIA	Loading Zone Passengers 2 Min. Max	 9am -  4pm MON-FRI 9am -  12noon SAT
47	152.9776366	-27.5513326	ELLEN STREET	OXLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
48	153.0344075	-27.45664124	WICKHAM STREET	FORTITUDE VALLEY	Loading Zone Passengers 2 Min. Max	  -   ALL OTHER TIMES
49	153.0294772	-27.50016183	CORNWALL STREET	WOOLLOONGABBA	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
50	153.0514924	-27.57554524	EDDINGTON STREET	SUNNYBANK	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
51	153.1823198	-27.45806251	ERNEST STREET	MANLY	Loading Zone Passengers 2 Min. Max	 7am -  9am  2 30pm -  3 30pm SCHOOLDAYS
52	152.9524947	-27.56566837	MANBURGH TERRACE	DARRA	Loading Zone Passengers 2 Min. Max	
53	153.068999	-27.32231202	TOWNER STREET	SANDGATE	Loading Zone Passengers 2 Min. Max	
