METER_NO	Value
4225	1
4225	10
4225	9
4229	1
4229	10
4229	9
4039	2
5371	3
4269	4
4269	10
4268	4
4268	10
4268	9
4271	4
4271	10
4271	9
4689	8
4212	6
4212	10
4212	9
5139	7
5140	7
5141	7
5142	7
5415	7
4200	7
4200	10
4200	9
4201	7
4201	10
4201	9
4202	7
4202	10
4202	9
4203	7
4203	10
4203	9
4204	7
4204	10
4204	9
4205	7
4205	10
4205	9
4238	7
4238	10
4238	9
4244	7
4244	10
4244	9
4008	8
4009	8
4010	8
4016	8
4022	8
4023	8
4024	8
4049	8
4050	8
4065	8
4068	8
4069	8
4070	8
4078	8
4084	8
4186	8
4187	8
4188	8
4210	8
4245	8
4259	8
4280	8
4287	8
4288	8
4289	8
4295	8
4296	8
4297	8
4299	8
4301	8
4302	8
4303	8
4305	8
4306	8
4307	8
4308	8
4309	8
4310	8
4311	8
4312	8
4313	8
4314	8
4315	8
4316	8
4318	8
4319	8
4322	8
4323	8
4324	8
4325	8
4326	8
4327	8
4328	8
4329	8
4330	8
4331	8
4332	8
4337	8
4338	8
4345	8
4346	8
4369	8
4370	8
4371	8
4375	8
4385	8
4386	8
4389	8
4394	8
4403	8
4404	8
4405	8
4406	8
4407	8
4408	8
4409	8
4410	8
4411	8
4412	8
4413	8
4414	8
4415	8
4417	8
4418	8
4419	8
4420	8
4430	8
4431	8
4432	8
4440	8
4448	8
4449	8
4452	8
4453	8
4454	8
4455	8
4456	8
4459	8
4460	8
4461	8
4463	8
4464	8
4466	8
4467	8
4470	8
4471	8
4473	8
4481	8
4482	8
4486	8
4487	8
4489	8
4499	8
4502	8
4503	8
4504	8
4509	8
4510	8
4511	8
4515	8
4516	8
4517	8
4518	8
4519	8
4521	8
4524	8
4525	8
4526	8
4535	8
4542	8
4543	8
4548	8
4551	8
4552	8
4554	8
4556	8
4557	8
4559	8
4560	8
4561	8
4562	8
4574	8
4585	8
4586	8
4588	8
4589	8
4590	8
4591	8
4595	8
4599	8
4602	8
4603	8
4611	8
4612	8
4617	8
4618	8
4619	8
4621	8
4633	8
4634	8
4635	8
4636	8
4641	8
4642	8
4643	8
4645	8
4653	8
4654	8
4661	8
4669	8
4680	8
4681	8
4685	8
4687	8
4690	8
4692	8
4695	8
4698	8
4700	8
4710	8
4712	8
4715	8
4718	8
4720	8
4725	8
4726	8
4727	8
4728	8
4729	8
4733	8
4735	8
4737	8
4738	8
4739	8
4740	8
4741	8
4742	8
4743	8
4745	8
4746	8
4748	8
4749	8
4809	8
4810	8
4812	8
4813	8
4815	8
4816	8
4817	8
4818	8
4819	8
4820	8
4821	8
4822	8
4823	8
4824	8
4825	8
4826	8
4827	8
4828	8
4829	8
4830	8
4831	8
4832	8
4833	8
4834	8
4835	8
4836	8
4837	8
4838	8
4839	8
4844	8
4846	8
4847	8
4848	8
4849	8
4850	8
4853	8
4854	8
4855	8
4856	8
4857	8
4858	8
4859	8
4860	8
4861	8
4871	8
4873	8
4874	8
4875	8
4876	8
4877	8
5002	8
5003	8
5018	8
5021	8
5026	8
5028	8
5031	8
5032	8
5034	8
5042	8
5044	8
5045	8
5046	8
5047	8
5050	8
5051	8
5052	8
5062	8
5063	8
5065	8
5066	8
5068	8
5069	8
5070	8
5071	8
5073	8
5074	8
5077	8
5080	8
5081	8
5084	8
5085	8
5088	8
5093	8
5094	8
5098	8
5101	8
5103	8
5126	8
5127	8
5128	8
5129	8
5144	8
5150	8
5159	8
5161	8
5162	8
5164	8
5165	8
5169	8
5170	8
5171	8
5172	8
5189	8
5190	8
5191	8
5192	8
5193	8
5194	8
5197	8
5198	8
5199	8
5200	8
5241	8
5264	8
5300	8
5349	8
5360	8
5364	8
5365	8
5400	8
5401	8
5403	8
5404	8
5405	8
5406	8
5408	8
5409	8
5410	8
5411	8
5412	8
5413	8
5414	8
5422	8
5425	8
5432	8
5451	8
5452	8
5460	8
5604	8
5605	8
5607	8
5608	8
5609	8
5610	8
5611	8
5612	8
5613	8
5614	8
4179	8
4179	9
4180	8
4180	10
4180	9
4181	8
