ZONE	TAR_RATE_WEEKDAY	TAR_RATE_AH_WE	MC_RATE
4000103	5.75	2.85	
4000104	5.75	2.85	
4000105	5.75	2.85	
4000108	5.75	2.85	
4000110	0		1.15
4000111	5.75	2.85	
4000112	5.75	2.85	
4000113	5.75	2.85	
4000114	5.75	2.85	
4000116	5.75	2.85	
4000117	5.75	2.85	
4000119	5.75	2.85	
4000122	5.75	2.85	
4000123	5.75	2.85	
4000124	5.75	2.85	
4000126	5.75	2.85	
4000127	5.75	2.85	
4000128	5.75	2.85	
4000129	5.75	2.85	
4000130	5.75	2.85	
4000131	5.75	2.85	
4000132	5.75	2.85	
4000133	5.75	2.85	
4000134	0	2.85	
4000135	5.75	2.85	
4000139	3.65		
4000140	5.75	2.85	
4000142	5.75	2.85	
4000143	2.45	1.75	
4000144	5.75	2.85	
4000145	5.75	2.85	
4000146	0		1.15
4000147	5.75	2.85	
4000148	5.75	2.85	1.55
4000149	5.75	2.85	
4000150	5.75	2.85	
4000151	5.75	2.85	
4000152	5.75	2.85	
4000153	5.75	2.85	
4000155	5.75	2.85	
4000156	5.75	2.85	
4000157	5.75	2.85	
4000158	5.75	2.85	
4000159	5.75	2.85	
4000160	5.75	2.85	
4000161	3.65		
4000162	5.75		
4000167	2.45	1.75	
4000169	5.75	2.85	1.55
4000198	2.35		
4000201	1.45		
4000202	1.45		
4000203	2.35		
4000204	1.45		
4000205	2.35		
4000206	1.45		
4000207	2.35		
4000208	1.45		
4000209	1.45		
4000210	2.35		
4000211	1.45		
4000212	1.45		
4000213	2.35		
4000214	3.65		
4000215	3.65		
4000216	1.45		
4000217	3.65		
4000218	3.65		
4000219	3.65		
4000220	3.65		
4000221	2.45		
4000222	2.45		
4000223	2.45		
4000224	2.45		
4000230	2.45		
4000231	2.45		
4000232	3.65		
4000233	2.45		
4000234	2.45		
4000235	2.45		
4000236	2.45		
4000237	2.45		
4000238	2.45		
4000239	3.65		
4000240	3.65		
4000241	3.65		
4000242	3.65		
4000243	2.45		
4000244	2.45		
4000245	2.45		
4000246	2.45		
4000247	2.45		
4000248	2.45		
4000249	2.45		
4000250	2.45		
4000251	2.45		
4000253	2.45		
4000255	3.65		
4000257	3.65		
4000260	3.65		
4000262	3.65		
4000263	2.45		
4000264	2.45		
4000265	3.65		
4000272	2.45		
4000273	2.45		
4000274	2.45		
4000275	2.45		
4000279	2.45		
4000280	2.45		
4000281	2.45		
4000282	2.45		
4000283	3.65		
4000284	3.65		
4000286	3.65		
4000287	3.65		
4000288	3.65		
4000289	2.45		
4000290	2.45		
4000291	2.45		
4000292	2.45		
4000293	2.45		
4000294	2.45		
4000295	2.45		
4000296	2.45		
4000297	2.45		
4000298	2.45		
4000299	2.45		
4000300	2.45		
4000301	2.45		
4000302	3.65		
4000303	3.65		
4000304	3.65		
4000305	3.65		
4000306	3.65		
4000307	3.65		
4000308	2.45		
4000309	2.45		
4000311	2.45		
4000312	2.45		
4000313	2.45		
4000314	2.45		
4000316	3.65		
4000317	2.45		
4000318	2.45		
4000319	2.45		
4000320	2.45		
4000321	2.45		
4000322	3.65		
4000323	2.45		
4000325	2.45		
4000326	3.65		
4000327	3.65		
4000328	3.65		
4000329	2.45		
4000330	2.45		
4000331	2.45		
4000332	3.65		
4000333	2.45		
4000334	3.65		
4000335	2.45		
4000336	2.45		
4000337	3.65		
4000338	2.45		
4000339	2.45		
4000340	3.65		
4000341	2.45		
4000342	2.45		
4000344	2.45		
4000345	3.65	2.35	
4000346	3.65	2.35	
4000347	3.65		
4000349	2.45		
4000350	2.45		
4000351	3.65		
4000352	2.45		
4000353	2.45		
4000354	2.45		
4000355	2.45		
4000356	2.45		
4000357	2.45		
4000358	3.65		
4000359	2.45		
4000360	3.65	2.35	
4000361	3.65	2.35	
4000362	2.45	1.75	
4000363	2.45		
4000364	2.45		
4000365	2.45		
4000366	2.45		
4000367	2.45		
4000369	2.45	1.75	
4000370	2.45		
4000371	2.45		
4000372	2.45		
4000373	2.45		
4000374	2.45		
4000375	2.45		
4000376	2.45		
4000377	2.45		
4000378	2.45	1.75	
4000379	3.65	2.35	
4000380	2.45	1.75	
4000381	3.65	2.35	
4000382	2.45	1.75	
4000383	2.45		
4000384	3.65		
4000385	2.45	1.75	
4000386	3.65	2.35	
4000387	2.45	1.75	
4000388	2.45		
4000389	2.45		
4000390	2.45		
4000391	2.45		
4000392	2.45		
4000393	2.45		
4000394	2.45		
4000395	3.65		
4000396	3.65		
4000397	2.45		
4000398	2.45	1.75	
4000399	3.65		
4000400	2.45		
4000401	2.45		
4000402	2.45		
4000403	3.65		
4000404	2.45		
4000405	2.45		
4000406	2.45		
4000407	3.65		
4000408	3.65		
4000409	2.45		
4000410	2.45		
4000411	3.65		
4000412	2.45		
4000413	2.45		
4000414	2.45		
4000415	2.45		
4000416	3.65		
4000417	2.45		
4000418	2.45		
4000419	3.65		
4000421	3.65	2.35	
4000422	2.45		
4000423	3.65		
4000431	2.45		
4000432	2.45		
4000433	2.45		
4000434	2.45		
4000435	2.45		
4000436	2.45		
4000437	3.65		
4000438	3.65		
4000440	3.65		
4000441	3.65	2.35	
4000442	2.45		
4000443	2.45		
4000444	3.65		
4000490	3.65	2.35	
4000491	2.45		
4000492	2.45		
4000493	2.45		
4000494	2.45		
4000495	2.45		
4000496	2.45		
4000497	2.45		
4000498	2.45		
4000499	2.45		
4000500	2.45		
4000501	2.45		
4000502	3.65	2.35	
4000503	2.45		
4000504	2.45		
4000505	2.45		
4000506	2.45		
4000507	2.45		
4000509	2.45		
4000510	2.45		
4000511	2.45		
4000512	2.45		
4000513	2.45		
4000514	2.45		
4000515	2.45		
4000516	2.45		
4000517	2.45		
4000518	2.45		
4000519	2.45		
4000520	2.45		
4000521	2.45		
4000522	2.45		
4000523	2.45		
4000524	2.45		
4000525	3.65		
4000526	3.65		
4000527	2.45		
4000528	2.45		
4000529	2.45		
4000530	2.45		
4000531	2.45		
4000532	2.45		
4000533	2.45		
4000534	3.65		
4000535	3.65		
4000536	3.65		
4000537	3.65		
4000538	2.45		
4000539	2.45		
4000541	2.45		
4000542	2.45		
4000543	2.45		
4000544	2.45		
4000545	2.45		
4000546	2.45		
4000547	2.45		
4000548	2.45		
4000549	2.45		
4000550	2.45		
4000551	2.45		
4000552	2.45		
4000553	2.45		
4000554	2.45		
4000555	3.65		
4000556	2.45		
4000557	2.45		
4000558	2.45		
4000561	2.45		
4000562	2.45		
4000563	2.45		
4000564	3.65		
4000565	2.45		
4000566	2.45		
4000567	2.45		
4000569	2.45		
4000571	3.65		
4000572	2.45		
4000573	2.45		
4000574	2.45		
4000575	2.45		
4000576	2.45		
4000577	2.45		
4000578	3.65		
4000579	2.45		
4000580	3.65		
4000581	2.45		
4000582	3.65		
4000583	3.65		
4000584	2.45		
4000585	2.45		
4000587	2.45		
4000588	2.45		
4000589	2.45		
4000590	2.45		
4000591	2.45		
4000592	2.45		
4000593	2.45		
4000596	2.45		
4000597	2.45		
4000598	3.65		
4000600	2.45		
4000601	2.45		
4000602	2.45		
4000604	2.45		
4000605	2.45		
4000606	2.45		
4000607	2.45		
4000608	2.45		
4000609	2.45		
4000610	2.45		
4000611	2.45		
4000612	2.45		
4000613	2.45		
4000615	2.45		
4000616	2.45		
4000617	2.45		
4000618	3.65		
4000619	2.45		
4000620	2.45		
4000621	2.45		
4000622	2.45		
4000623	2.45		
4000624	3.65		
4000625	3.65	2.35	
4000626	3.65	2.35	
4000627	3.65	2.35	
4000628	2.45	1.75	
4000629	2.45		
4000630	2.45		
4000631	2.45		
4000632	2.45		
4000633	2.45		
4000634	2.45		
4000635	2.45		
4000637	2.45		
4000638	2.45		
4000639	3.65	2.35	
4000640	3.65	2.35	
4000641	3.65	2.35	
4000642	3.65	2.35	
4000643	2.45		
4000644	2.45		
4000645	2.45		
4000646	2.45		
4000648	2.45		
4000649	2.45		
4000650	2.45	1.75	
4000651	3.65		
4000652	3.65		
4000653	3.65		
4000654	2.45		
4000655	3.65		
4000657	2.45		
4000659	2.45		
4000660	2.45		
4000661	2.45		
4000662	2.45		
4000663	2.45		
4000664	2.45		
4000665	2.45		
4000666	2.45		
4000667	2.45		
4000668	2.45		
4000669	2.45		
4000670	2.45		
4000671	2.45		
4000672	3.65		
4000673	3.65		
4000675	3.65		
4000676	2.45		
4000677	2.45		
4000678	2.45		
4000679	3.65		
4000680	3.65		
4000681	2.45		
4000682	3.65		
4000683	3.65		
4000684	2.45		
4000685	2.45		
4000686	2.45		
4000687	3.65		
4000688	2.45		
4000689	2.45		
4000690	2.45		
4000691	2.45		
4000693	2.45		
4000694	2.45		
4000695	3.65		
4000696	2.45		
4000697	2.45		
4000698	2.45		
4000699	2.45		
4000700	2.45		
4000701	2.45		
4000702	2.45		
4000703	2.45		
4000704	2.45		
4000705	2.45		
4000707	3.65		
4000708	2.45		
4000709	2.45		
4000710	2.35		
4000711	2.35		
4000712	3.65		
4000721	2.45		
4000722	2.45		
4000723	2.45		
4000724	2.45		
4000725	2.45		
4000726	2.45		
4000727	2.45		
4000728	2.45		
4000729	2.45		
4000730	2.45		
4000731	3.65		
4000732	3.65		
4000733	3.65		
4000734	2.45		
4000735	2.45		
4000736	2.45		
4000737	2.45		
4000738	2.45		
4000739	2.45		
4000740	2.45		
4000741	2.45		
4000742	2.45		
4000743	1.45		
4000744	1.45		
4000745	1.45		
4000748	1.45		
4000749	1.45		
4000750	1.45		
4000751	1.45		
4000752	1.45		
4000753	2.35		
4000754	1.45		
4000755	2.35		
4000758	1.45		
4000759	1.45		
4000761	1.45		
4000762	1.45		
4000765	1.45		
4000766	2.35		
4000801	2.45		
4000802	3.65		
4000803	2.45		
4000804	3.65		
4000805	2.45		
4000806	2.45		
4000807	2.45		
4000808	2.45		
4000809	2.45		
4000810	3.65		
4000811	2.45		
4000812	2.45		
4000813	2.45		
4000814	2.45		
4000815	2.45		
4000816	2.45		
4000817	2.45		
4000818	2.45		
4000819	2.45		
4000821	3.65		
4000822	2.45		
4000823	3.65		
4000826	3.65		
4000827	2.45		
4000828	2.45		
4000829	3.65		
4000830	3.65		
4000831	5.75	2.85	
4000832	5.75	2.85	
4000833	3.65		
4000836	3.65		
4000837	2.45		
4000838	3.65		
4000840	3.65	2.35	
4000841	3.65		
4000842	3.65		
4000844	3.65		
4000845	3.65		
4000846	3.65		
4000847	3.65		
4000849	3.65	2.35	
4000850	3.65		
4000851	3.65		
4000852	3.65		
